asciiname,population,location
Hardoi,122635,"https://www.google.com/maps/?q=27.39491,80.13165"
Puruliya,122533,"https://www.google.com/maps/?q=23.33062,86.36303"
Dibrugarh,122155,"https://www.google.com/maps/?q=27.47989,94.90837"
Palwal,121965,"https://www.google.com/maps/?q=28.14469,77.32546"
Nalgonda,121826,"https://www.google.com/maps/?q=17.05439,79.26707"
Bhadreswar,121662,"https://www.google.com/maps/?q=22.82449,88.33841"
Vejalpur,121610,"https://www.google.com/maps/?q=22.69021,73.56299"
Chikmagalur,121484,"https://www.google.com/maps/?q=13.32231,75.774"
Raigarh,121278,"https://www.google.com/maps/?q=21.89764,83.3966"
Guntakal Junction,120964,"https://www.google.com/maps/?q=15.17112,77.36244"
Gangapur,120115,"https://www.google.com/maps/?q=26.47249,76.71744"
Deoli,120000,"https://www.google.com/maps/?q=28.50254,77.23117"
Siwan,119181,"https://www.google.com/maps/?q=26.22096,84.35609"
Damoh,118776,"https://www.google.com/maps/?q=23.83312,79.4419"
Adilabad,118526,"https://www.google.com/maps/?q=19.67203,78.5359"
Chicacole,118299,"https://www.google.com/maps/?q=18.2989,83.89751"
Uppal Kalan,118259,"https://www.google.com/maps/?q=17.40577,78.55911"
Jetpur,118068,"https://www.google.com/maps/?q=21.75482,70.62347"
Morbi,118022,"https://www.google.com/maps/?q=22.81731,70.8377"
Patan,117863,"https://www.google.com/maps/?q=23.8507,72.12963"
Khanna,117137,"https://www.google.com/maps/?q=30.70547,76.22196"
Botad,117053,"https://www.google.com/maps/?q=22.16917,71.66671"
Rishra,117014,"https://www.google.com/maps/?q=22.72394,88.34563"
Azamgarh,116644,"https://www.google.com/maps/?q=26.06832,83.18358"
Yelahanka,116447,"https://www.google.com/maps/?q=13.10073,77.59632"
Gudivada,116161,"https://www.google.com/maps/?q=16.43547,80.99555"
Baidyabati,115504,"https://www.google.com/maps/?q=22.78498,88.32586"
Basti,115115,"https://www.google.com/maps/?q=26.78817,82.71617"
Balasore,114321,"https://www.google.com/maps/?q=21.49266,86.93348"
Dharmavaram,114050,"https://www.google.com/maps/?q=14.41435,77.72035"
Maler Kotla,113840,"https://www.google.com/maps/?q=30.5309,75.87949"
Wardha,113759,"https://www.google.com/maps/?q=20.73933,78.59784"
Jhunjhunun,113193,"https://www.google.com/maps/?q=28.12559,75.39797"
Satara,112793,"https://www.google.com/maps/?q=17.68589,73.99333"
Chanduasi,112635,"https://www.google.com/maps/?q=28.45178,78.78277"
Mothihari,112144,"https://www.google.com/maps/?q=26.64862,84.91656"
Chas,112141,"https://www.google.com/maps/?q=23.63556,86.16712"
Pudukkottai,112118,"https://www.google.com/maps/?q=10.38128,78.82141"
Rewari,112079,"https://www.google.com/maps/?q=28.199,76.6183"
Port Blair,112050,"https://www.google.com/maps/?q=11.66613,92.74635"
Suriapet,111729,"https://www.google.com/maps/?q=17.14054,79.62045"
Bangaon,111693,"https://www.google.com/maps/?q=23.04553,88.83084"
